Gastag,Restlast[kWh]*,,
01.01.2018,1644698501,,
02.01.2018,1816428475,,
03.01.2018,1800609880,,
04.01.2018,1730960386,,
05.01.2018,1664959323,,
06.01.2018,1721590390,,
07.01.2018,2010583323,,
08.01.2018,2165929806,,
09.01.2018,2054074255,,
10.01.2018,1880923523,,
11.01.2018,1905638959,,
12.01.2018,1957140809,,
13.01.2018,2032812272,,
14.01.2018,2195453552,,
15.01.2018,2190817705,,
16.01.2018,2087850264,,
17.01.2018,2241931759,,
18.01.2018,2132778895,,
19.01.2018,2159880633,,
20.01.2018,2158503894,,
21.01.2018,2185945941,,
22.01.2018,2126923950,,
23.01.2018,1896659571,,
24.01.2018,1575963077,,
25.01.2018,1587987401,,
26.01.2018,1675405280,,
27.01.2018,1748655012,,
28.01.2018,1646807020,,
29.01.2018,1622837298,,
30.01.2018,1789184662,,
31.01.2018,1778961575,,
01.02.2018,2011218995,,
02.02.2018,2060172788,,
03.02.2018,2118371763,,
04.02.2018,2287959624,,
05.02.2018,2412396085,,
06.02.2018,2517293350,,
07.02.2018,2533900821,,
08.02.2018,2570768410,,
09.02.2018,2510391824,,
10.02.2018,2358016611,,
11.02.2018,2254699757,,
12.02.2018,2331560974,,
13.02.2018,2340115172,,
14.02.2018,2362991105,,
15.02.2018,2370435069,,
16.02.2018,2142552953,,
17.02.2018,2248126863,,
18.02.2018,2211516859,,
19.02.2018,2276707412,,
20.02.2018,2322500540,,
21.02.2018,2355745028,,
22.02.2018,2435601814,,
23.02.2018,2522241574,,
24.02.2018,2607641460,,
25.02.2018,2765293805,,
26.02.2018,3014476176,,
27.02.2018,3102472437,,
28.02.2018,3273739581,,
01.03.2018,3186007552,,
02.03.2018,3047997057,,
03.03.2018,2773085400,,
04.03.2018,2276132150,,
05.03.2018,1937317379,,
06.03.2018,1906237589,,
07.03.2018,1910491781,,
08.03.2018,1826771723,,
09.03.2018,1743911306,,
10.03.2018,1468967241,,
11.03.2018,1257629143,,
12.03.2018,1330827037,,
13.03.2018,1563977684,,
14.03.2018,1680880631,,
15.03.2018,1691467155,,
16.03.2018,1964813683,,
17.03.2018,2461613464,,
18.03.2018,2548957266,,
19.03.2018,2459579551,,
20.03.2018,2351821601,,
21.03.2018,2197237045,,
22.03.2018,2144789780,,
23.03.2018,1931240040,,
24.03.2018,1619068166,,
25.03.2018,1553224832,,
26.03.2018,1648431743,,
27.03.2018,1611347850,,
28.03.2018,1661749193,,
29.03.2018,1695164047,,
30.03.2018,1489009527,,
31.03.2018,1504970439,,
01.04.2018,1672181877,,
02.04.2018,1443431087,,
03.04.2018,1046400140,,
04.04.2018,987952901,,
05.04.2018,1289790036,,
06.04.2018,1214422005,,
07.04.2018,858641744,,
08.04.2018,678773801,,
09.04.2018,663704364,,
10.04.2018,664314063,,
11.04.2018,783155940,,
12.04.2018,720319190,,
13.04.2018,791862568,,
14.04.2018,765262716,,
15.04.2018,701553906,,
16.04.2018,683410709,,
17.04.2018,602717724,,
18.04.2018,490187770,,
19.04.2018,398800959,,
20.04.2018,357718335,,
21.04.2018,360665577,,
22.04.2018,347345290,,
23.04.2018,387540466,,
24.04.2018,510654820,,
25.04.2018,566629544,,
26.04.2018,719600420,,
27.04.2018,636567607,,
28.04.2018,551998111,,
29.04.2018,485080697,,
30.04.2018,560198666,,
01.05.2018,775238762,,
02.05.2018,681125222,,
03.05.2018,628366233,,
04.05.2018,568342086,,
05.05.2018,483753933,,
06.05.2018,403790227,,
07.05.2018,353480239,,
08.05.2018,318283579,,
09.05.2018,304049120,,
10.05.2018,353422408,,
11.05.2018,376249558,,
12.05.2018,318877692,,
13.05.2018,339256221,,
14.05.2018,331493798,,
15.05.2018,337332307,,
16.05.2018,390643956,,
17.05.2018,449216165,,
18.05.2018,481512796,,
19.05.2018,449431511,,
20.05.2018,379601048,,
21.05.2018,326667561,,
22.05.2018,299475426,,
23.05.2018,294058348,,
24.05.2018,302630373,,
25.05.2018,274468256,,
26.05.2018,253608445,,
27.05.2018,245656426,,
28.05.2018,219780447,,
29.05.2018,219673165,,
30.05.2018,217385692,,
31.05.2018,209272164,,
01.06.2018,222838055,,
02.06.2018,235722973,,
03.06.2018,229145747,,
04.06.2018,225769181,,
05.06.2018,241602711,,
06.06.2018,228465781,,
07.06.2018,219842237,,
08.06.2018,219432554,,
09.06.2018,217031417,,
10.06.2018,209470878,,
11.06.2018,221465770,,
12.06.2018,268614083,,
13.06.2018,322970878,,
14.06.2018,293351520,,
15.06.2018,261997822,,
16.06.2018,244891779,,
17.06.2018,246009051,,
18.06.2018,253265365,,
19.06.2018,252299062,,
20.06.2018,227705050,,
21.06.2018,269102683,,
22.06.2018,349499763,,
23.06.2018,360884712,,
24.06.2018,360557689,,
25.06.2018,333155286,,
26.06.2018,317072611,,
27.06.2018,273597111,,
28.06.2018,258388366,,
29.06.2018,229881344,,
30.06.2018,220727671,,
01.07.2018,230826732,,
02.07.2018,238395892,,
03.07.2018,221865761,,
04.07.2018,221484797,,
05.07.2018,221329866,,
06.07.2018,231634416,,
07.07.2018,225552945,,
08.07.2018,221734138,,
09.07.2018,229799509,,
10.07.2018,263814341,,
11.07.2018,283489357,,
12.07.2018,250426961,,
13.07.2018,232914195,,
14.07.2018,220189092,,
15.07.2018,213988692,,
16.07.2018,214546507,,
17.07.2018,205873973,,
18.07.2018,209633986,,
19.07.2018,210836750,,
20.07.2018,202683746,,
21.07.2018,202646892,,
22.07.2018,204335140,,
23.07.2018,199121891,,
24.07.2018,182597193,,
25.07.2018,178104577,,
26.07.2018,179205871,,
27.07.2018,171208042,,
28.07.2018,175611168,,
29.07.2018,178896989,,
30.07.2018,165349526,,
31.07.2018,166457266,,
01.08.2018,176275415,,
02.08.2018,174025984,,
03.08.2018,168236255,,
04.08.2018,169332282,,
05.08.2018,170590482,,
06.08.2018,171019533,,
07.08.2018,166283843,,
08.08.2018,173403730,,
09.08.2018,170300345,,
10.08.2018,199924394,,
11.08.2018,210786974,,
12.08.2018,202396082,,
13.08.2018,205059718,,
14.08.2018,211226378,,
15.08.2018,211883666,,
16.08.2018,204371931,,
17.08.2018,198181051,,
18.08.2018,206252772,,
19.08.2018,195197084,,
20.08.2018,196347632,,
21.08.2018,199538625,,
22.08.2018,201437591,,
23.08.2018,192546885,,
24.08.2018,212329784,,
25.08.2018,277172765,,
26.08.2018,284978195,,
27.08.2018,279304559,,
28.08.2018,263088504,,
29.08.2018,243538572,,
30.08.2018,267124583,,
31.08.2018,306447669,,
01.09.2018,310005402,,
02.09.2018,304069274,,
03.09.2018,273159992,,
04.09.2018,258217635,,
05.09.2018,216657143,,
06.09.2018,253482100,,
07.09.2018,280394545,,
08.09.2018,305582267,,
09.09.2018,282098452,,
10.09.2018,268005111,,
11.09.2018,261741990,,
12.09.2018,271402380,,
13.09.2018,310881936,,
14.09.2018,317755855,,
15.09.2018,331376340,,
16.09.2018,326413349,,
17.09.2018,296315583,,
18.09.2018,264052576,,
19.09.2018,246562283,,
20.09.2018,234529306,,
21.09.2018,278913515,,
22.09.2018,377977293,,
23.09.2018,492895077,,
24.09.2018,642408659,,
25.09.2018,731566818,,
26.09.2018,717399370,,
27.09.2018,566535365,,
28.09.2018,668546119,,
29.09.2018,770490749,,
30.09.2018,763020025,,
01.10.2018,883294079,,
02.10.2018,1053449005,,
03.10.2018,919228979,,
04.10.2018,872097600,,
05.10.2018,710278379,,
06.10.2018,595727061,,
07.10.2018,719000972,,
08.10.2018,797700555,,
09.10.2018,739827451,,
10.10.2018,628583406,,
11.10.2018,535396948,,
12.10.2018,454147126,,
13.10.2018,411682152,,
14.10.2018,428817461,,
15.10.2018,468005224,,
16.10.2018,501176768,,
17.10.2018,530485270,,
18.10.2018,621180774,,
19.10.2018,755649118,,
20.10.2018,848496332,,
21.10.2018,901865882,,
22.10.2018,1036945428,,
23.10.2018,1138723266,,
24.10.2018,1008305909,,
25.10.2018,981402708,,
26.10.2018,1076684319,,
27.10.2018,1321940502,,
28.10.2018,1540728277,,
29.10.2018,1595364753,,
30.10.2018,1512871241,,
31.10.2018,1423844302,,
01.11.2018,1373547973,,
02.11.2018,1329308181,,
03.11.2018,1397056207,,
04.11.2018,1334622174,,
05.11.2018,1209225136,,
06.11.2018,1155144426,,
07.11.2018,1106342747,,
08.11.2018,1141091035,,
09.11.2018,1170033776,,
10.11.2018,1126490495,,
11.11.2018,1092166354,,
12.11.2018,1066487360,,
13.11.2018,1201478247,,
14.11.2018,1351911682,,
15.11.2018,1525021138,,
16.11.2018,1631501433,,
17.11.2018,1777079267,,
18.11.2018,1911785817,,
19.11.2018,1994021979,,
20.11.2018,2116385680,,
21.11.2018,2144393680,,
22.11.2018,2098716272,,
23.11.2018,2035257914,,
24.11.2018,1935680405,,
25.11.2018,1866259778,,
26.11.2018,1944065398,,
27.11.2018,2084044562,,
28.11.2018,2146039382,,
29.11.2018,1983515945,,
30.11.2018,1824665247,,
01.12.2018,1706503915,,
02.12.2018,1484455706,,
03.12.2018,1331710859,,
04.12.2018,1642726220,,
05.12.2018,1860667680,,
06.12.2018,1578687548,,
07.12.2018,1430003761,,
08.12.2018,1593044666,,
09.12.2018,1659702206,,
10.12.2018,1920833047,,
11.12.2018,2002709797,,
12.12.2018,2086449366,,
13.12.2018,2227755250,,
14.12.2018,2317802167,,
15.12.2018,2406699772,,
16.12.2018,2399321015,,
17.12.2018,2204864042,,
18.12.2018,2067976553,,
19.12.2018,2033576982,,
20.12.2018,1870271531,,
21.12.2018,1661570345,,
22.12.2018,1567663080,,
23.12.2018,1592612964,,
24.12.2018,1854229554,,
25.12.2018,1951165771,,
26.12.2018,2036113237,,
27.12.2018,2063886563,,
28.12.2018,2052523610,,
29.12.2018,1939005216,,
30.12.2018,1812039856,,
31.12.2018,1710074071,,
01.01.2019,696229906,,
02.01.2019,2139193423,,
03.01.2019,2300823173,,
04.01.2019,2198967832,,
05.01.2019,1974203660,,
06.01.2019,1951578916,,
07.01.2019,1980307311,,
08.01.2019,2045572332,,
09.01.2019,2249992907,,
10.01.2019,2336114670,,
11.01.2019,2213980122,,
12.01.2019,2020923626,,
13.01.2019,1898243488,,
14.01.2019,2136988803,,
15.01.2019,2085523571,,
16.01.2019,1995595880,,
17.01.2019,2100429136,,
18.01.2019,2352590396,,
19.01.2019,2480619457,,
20.01.2019,2650950245,,
21.01.2019,2794630355,,
22.01.2019,2797271898,,
23.01.2019,2860624320,,
24.01.2019,2896764658,,
25.01.2019,2749172308,,
26.01.2019,2291120348,,
27.01.2019,2102079984,,
28.01.2019,2306258349,,
29.01.2019,2385321212,,
30.01.2019,2482420228,,
31.01.2019,2453453693,,
01.02.2019,2354199229,,
02.02.2019,2268562836,,
03.02.2019,2322205665,,
04.02.2019,2352491414,,
05.02.2019,2303614282,,
06.02.2019,2228099468,,
07.02.2019,2119040747,,
08.02.2019,1924943251,,
09.02.2019,1771981825,,
10.02.2019,1813512738,,
11.02.2019,2031061867,,
12.02.2019,2084851798,,
13.02.2019,1984200716,,
14.02.2019,1896914674,,
15.02.2019,1740966422,,
16.02.2019,1609469363,,
17.02.2019,1585397840,,
18.02.2019,1559712517,,
19.02.2019,1652412018,,
20.02.2019,1641696145,,
21.02.2019,1543687004,,
22.02.2019,1598260155,,
23.02.2019,1787901769,,
24.02.2019,1704182839,,
25.02.2019,1569272360,,
26.02.2019,1478004399,,
27.02.2019,1355579789,,
28.02.2019,1340714619,,
01.03.2019,1510259029,,
02.03.2019,1530654618,,
03.03.2019,1379861639,,
04.03.2019,1482395245,,
05.03.2019,1664483617,,
06.03.2019,1462911496,,
07.03.2019,1400421160,,
08.03.2019,1520499912,,
09.03.2019,1501904842,,
10.03.2019,1612166547,,
11.03.2019,1907204914,,
12.03.2019,1747490605,,
13.03.2019,1781338951,,
14.03.2019,1817357933,,
15.03.2019,1637225318,,
16.03.2019,1523314359,,
17.03.2019,1549487571,,
18.03.2019,1750390687,,
19.03.2019,1711548221,,
20.03.2019,1559575897,,
21.03.2019,1315848969,,
22.03.2019,1132686235,,
23.03.2019,1175069353,,
24.03.2019,1287017460,,
25.03.2019,1541057597,,
26.03.2019,1595162176,,
27.03.2019,1465927016,,
28.03.2019,1321197007,,
29.03.2019,1100488453,,
30.03.2019,920386177,,
31.03.2019,1106949599,,
01.04.2019,1167733055,,
02.04.2019,1056005015,,
03.04.2019,1124987992,,
04.04.2019,1301513458,,
05.04.2019,1320862746,,
06.04.2019,1013228785,,
07.04.2019,852828132,,
08.04.2019,888923457,,
09.04.2019,1029091202,,
10.04.2019,1202940544,,
11.04.2019,1360404322,,
12.04.2019,1567567571,,
13.04.2019,1632961997,,
14.04.2019,1562118574,,
15.04.2019,1220532848,,
16.04.2019,1028748303,,
17.04.2019,898465952,,
18.04.2019,716484388,,
19.04.2019,581856559,,
20.04.2019,549880655,,
21.04.2019,520059812,,
22.04.2019,497914209,,
23.04.2019,497653177,,
24.04.2019,453509582,,
25.04.2019,461287735,,
26.04.2019,612749325,,
27.04.2019,763162654,,
28.04.2019,894752422,,
29.04.2019,973526048,,
30.04.2019,830306984,,
01.05.2019,778579414,,
02.05.2019,832710352,,
03.05.2019,977273321,,
04.05.2019,1205117800,,
05.05.2019,1226662203,,
06.05.2019,1242905280,,
07.05.2019,1127705166,,
08.05.2019,1054700788,,
09.05.2019,908520452,,
10.05.2019,880525890,,
11.05.2019,951808665,,
12.05.2019,980908341,,
13.05.2019,924987433,,
14.05.2019,929701405,,
15.05.2019,920858931,,
16.05.2019,971820448,,
17.05.2019,807758740,,
18.05.2019,563863138,,
19.05.2019,487951021,,
20.05.2019,552176960,,
21.05.2019,662635093,,
22.05.2019,679918458,,
23.05.2019,542291404,,
24.05.2019,441222316,,
25.05.2019,479733819,,
26.05.2019,451826671,,
27.05.2019,443653646,,
28.05.2019,543357358,,
29.05.2019,561974324,,
30.05.2019,482152626,,
31.05.2019,367112562,,
01.06.2019,301785026,,
02.06.2019,258138531,,
03.06.2019,253849591,,
04.06.2019,253378328,,
05.06.2019,229256925,,
06.06.2019,292074448,,
07.06.2019,289926929,,
08.06.2019,321096273,,
09.06.2019,293362304,,
10.06.2019,278960638,,
11.06.2019,286427673,,
12.06.2019,309903405,,
13.06.2019,295768980,,
14.06.2019,253635709,,
15.06.2019,248047867,,
16.06.2019,269836705,,
17.06.2019,244782644,,
18.06.2019,226397263,,
19.06.2019,208868726,,
20.06.2019,223859028,,
21.06.2019,248046818,,
22.06.2019,241491605,,
23.06.2019,227763588,,
24.06.2019,202889638,,
25.06.2019,198262371,,
26.06.2019,195859025,,
27.06.2019,212925659,,
28.06.2019,218675918,,
29.06.2019,196068773,,
30.06.2019,181869949,,
01.07.2019,197756186,,
02.07.2019,225231763,,
03.07.2019,241275361,,
04.07.2019,258759155,,
05.07.2019,242029480,,
06.07.2019,231857414,,
07.07.2019,272955537,,
08.07.2019,314289659,,
09.07.2019,331492058,,
10.07.2019,297056429,,
11.07.2019,286747425,,
12.07.2019,271999228,,
13.07.2019,282607372,,
14.07.2019,305755919,,
15.07.2019,320610700,,
16.07.2019,331723520,,
17.07.2019,292216993,,
18.07.2019,254815304,,
19.07.2019,228152286,,
20.07.2019,221519649,,
21.07.2019,220513732,,
22.07.2019,213365434,,
23.07.2019,198739087,,
24.07.2019,186069826,,
25.07.2019,175795881,,
26.07.2019,178184522,,
27.07.2019,172800256,,
28.07.2019,189683032,,
29.07.2019,198262991,,
30.07.2019,197691203,,
31.07.2019,206448276,,
01.08.2019,209874415,,
02.08.2019,208556301,,
03.08.2019,218179935,,
04.08.2019,212676180,,
05.08.2019,208406072,,
06.08.2019,204442982,,
07.08.2019,222036265,,
08.08.2019,218390619,,
09.08.2019,212444211,,
10.08.2019,206873737,,
11.08.2019,214096360,,
12.08.2019,231314878,,
13.08.2019,271974461,,
14.08.2019,274801378,,
15.08.2019,274507745,,
16.08.2019,259611586,,
17.08.2019,245509581,,
18.08.2019,251652285,,
19.08.2019,248368339,,
20.08.2019,277295797,,
21.08.2019,282377685,,
22.08.2019,261292267,,
23.08.2019,245533150,,
24.08.2019,219086124,,
25.08.2019,201149197,,
26.08.2019,196894129,,
27.08.2019,197859163,,
28.08.2019,189189704,,
29.08.2019,201139062,,
30.08.2019,205656172,,
31.08.2019,193874342,,
01.09.2019,210302473,,
02.09.2019,253558783,,
03.09.2019,281627726,,
04.09.2019,270433000,,
05.09.2019,327004831,,
06.09.2019,353667932,,
07.09.2019,371767852,,
08.09.2019,425806381,,
09.09.2019,477258327,,
10.09.2019,476624157,,
11.09.2019,431019296,,
12.09.2019,355167131,,
13.09.2019,348703370,,
14.09.2019,375139875,,
15.09.2019,367669235,,
16.09.2019,407495243,,
17.09.2019,497561316,,
18.09.2019,582693734,,
19.09.2019,638388679,,
20.09.2019,639649447,,
21.09.2019,534639861,,
22.09.2019,444390562,,
23.09.2019,474894157,,
24.09.2019,478428080,,
25.09.2019,497426475,,
26.09.2019,500171514,,
27.09.2019,495496592,,
28.09.2019,521291222,,
29.09.2019,548337513,,
30.09.2019,584657108,,
01.10.2019,619903727,,
02.10.2019,757767232,,
03.10.2019,856533871,,
04.10.2019,947874377,,
05.10.2019,981619800,,
06.10.2019,1126035700,,
07.10.2019,1118721796,,
08.10.2019,999061831,,
09.10.2019,986745768,,
10.10.2019,995596634,,
11.10.2019,907592299,,
12.10.2019,720597464,,
13.10.2019,557267586,,
14.10.2019,522706726,,
15.10.2019,571716914,,
16.10.2019,707180297,,
17.10.2019,705938384,,
18.10.2019,738517908,,
19.10.2019,821955398,,
20.10.2019,797096425,,
21.10.2019,775417900,,
22.10.2019,839678583,,
23.10.2019,845001496,,
24.10.2019,771975587,,
25.10.2019,766708482,,
26.10.2019,749144148,,
27.10.2019,934837861,,
28.10.2019,1199006115,,
29.10.2019,1364576255,,
30.10.2019,1574579708,,
31.10.2019,1660160010,,
01.11.2019,1570206510,,
02.11.2019,1142896991,,
03.11.2019,1103555193,,
04.11.2019,1163104420,,
05.11.2019,1250798934,,
06.11.2019,1353757909,,
07.11.2019,1430391207,,
08.11.2019,1526346767,,
09.11.2019,1621482180,,
10.11.2019,1755358539,,
11.11.2019,1885486379,,
12.11.2019,1830215434,,
13.11.2019,1846477524,,
14.11.2019,1828822987,,
15.11.2019,1817366825,,
16.11.2019,1807466547,,
17.11.2019,1869476251,,
18.11.2019,1818632004,,
19.11.2019,1855177505,,
20.11.2019,1959395140,,
21.11.2019,1893475770,,
22.11.2019,1805335889,,
23.11.2019,1721659448,,
24.11.2019,1766365465,,
25.11.2019,1794183978,,
26.11.2019,1623509671,,
27.11.2019,1517294765,,
28.11.2019,1485317748,,
29.11.2019,1737121427,,
30.11.2019,1948840445,,
01.12.2019,2099843084,,
02.12.2019,2092930923,,
03.12.2019,2013459892,,
04.12.2019,2116544336,,
05.12.2019,2279903480,,
06.12.2019,2107751857,,
07.12.2019,1739660043,,
08.12.2019,1645209912,,
09.12.2019,1799027926,,
10.12.2019,2020497934,,
11.12.2019,2073779030,,
12.12.2019,2085537046,,
13.12.2019,2109464311,,
14.12.2019,1932154883,,
15.12.2019,1772482810,,
16.12.2019,1743027924,,
17.12.2019,1528144757,,
18.12.2019,1612487900,,
19.12.2019,1656461994,,
20.12.2019,1611945803,,
21.12.2019,1615049327,,
22.12.2019,1660026710,,
23.12.2019,1665461770,,
24.12.2019,1660995020,,
25.12.2019,1662144739,,
26.12.2019,1780363139,,
27.12.2019,1941624329,,
28.12.2019,2194800472,,
29.12.2019,2280389044,,
30.12.2019,2132368283,,
31.12.2019,2117399669,,
01.01.2020,2235995517,,
02.01.2020,2311297454,,
03.01.2020,1992124061,,
04.01.2020,1996598391,,
05.01.2020,2001760920,,
06.01.2020,2090209742,,
07.01.2020,2032846385,,
08.01.2020,1828071358,,
09.01.2020,1578720820,,
10.01.2020,1656199592,,
11.01.2020,1899543819,,
12.01.2020,1950081852,,
13.01.2020,1884022443,,
14.01.2020,1725786137,,
15.01.2020,1560654421,,
16.01.2020,1651501190,,
17.01.2020,1726101936,,
18.01.2020,1885288599,,
19.01.2020,2007878780,,
20.01.2020,2128751906,,
21.01.2020,2261177415,,
22.01.2020,2297843002,,
23.01.2020,2263155571,,
24.01.2020,2332574657,,
25.01.2020,2264796849,,
26.01.2020,2106548152,,
27.01.2020,1930462821,,
28.01.2020,2020541282,,
29.01.2020,2088848396,,
30.01.2020,1822283668,,
31.01.2020,1461177892,,
01.02.2020,1403552451,,
02.02.2020,1521572683,,
03.02.2020,1572943602,,
04.02.2020,1865114744,,
05.02.2020,1973275146,,
06.02.2020,2037420465,,
07.02.2020,1989833394,,
08.02.2020,1897874549,,
09.02.2020,1601967550,,
10.02.2020,1750582665,,
11.02.2020,1997959058,,
12.02.2020,2073858525,,
13.02.2020,2054219806,,
14.02.2020,1890345936,,
15.02.2020,1626046190,,
16.02.2020,1366621503,,
17.02.2020,1570012167,,
18.02.2020,1711027535,,
19.02.2020,1838066294,,
20.02.2020,1791651013,,
21.02.2020,1786647773,,
22.02.2020,1627188583,,
23.02.2020,1614486752,,
24.02.2020,1689593537,,
25.02.2020,1674760219,,
26.02.2020,1974553642,,
27.02.2020,2069267886,,
28.02.2020,1934443073,,
29.02.2020,1651605881,,
01.03.2020,1650645590,,
02.03.2020,1669431513,,
03.03.2020,1785559984,,
04.03.2020,1824198445,,
05.03.2020,1774173862,,
06.03.2020,1847692263,,
07.03.2020,1779714075,,
08.03.2020,1606148022,,
09.03.2020,1611827341,,
10.03.2020,1631125802,,
11.03.2020,1322450823,,
12.03.2020,1371306804,,
13.03.2020,1611355988,,
14.03.2020,1591595761,,
15.03.2020,1402605333,,
16.03.2020,1236757685,,
17.03.2020,1194287472,,
18.03.2020,1113148043,,
19.03.2020,1079557181,,
20.03.2020,1264123642,,
21.03.2020,1602736111,,
22.03.2020,1727371147,,
23.03.2020,1836146676,,
24.03.2020,1789407650,,
25.03.2020,1717583971,,
26.03.2020,1634335546,,
27.03.2020,1336996201,,
28.03.2020,1189656176,,
29.03.2020,1711121864,,
30.03.2020,1855043787,,
31.03.2020,1786158560,,
01.04.2020,1677503734,,
02.04.2020,1511566803,,
03.04.2020,1481685615,,
04.04.2020,1294889675,,
05.04.2020,1045624003,,
06.04.2020,828523261,,
07.04.2020,735434366,,
08.04.2020,645349866,,
09.04.2020,656006302,,
10.04.2020,722511518,,
11.04.2020,694417168,,
12.04.2020,590492162,,
13.04.2020,906370912,,
14.04.2020,1168991341,,
15.04.2020,1015076974,,
16.04.2020,767230908,,
17.04.2020,688337290,,
18.04.2020,643738753,,
19.04.2020,716951836,,
20.04.2020,761867279,,
21.04.2020,710959937,,
22.04.2020,632393720,,
23.04.2020,570734146,,
24.04.2020,561796398,,
25.04.2020,659873506,,
26.04.2020,665984810,,
27.04.2020,565957060,,
28.04.2020,592320504,,
29.04.2020,666033865,,
30.04.2020,713735125,,
01.05.2020,763212915,,
02.05.2020,862750042,,
03.05.2020,798440676,,
04.05.2020,840212233,,
05.05.2020,891471109,,
06.05.2020,813618925,,
07.05.2020,697499856,,
08.05.2020,541882957,,
09.05.2020,449572566,,
10.05.2020,471177072,,
11.05.2020,897974408,,
12.05.2020,960899412,,
13.05.2020,950203280,,
14.05.2020,931225446,,
15.05.2020,880135571,,
16.05.2020,735956445,,
17.05.2020,642921785,,
18.05.2020,524890219,,
19.05.2020,454068010,,
20.05.2020,442645670,,
21.05.2020,377748546,,
22.05.2020,350473617,,
23.05.2020,453080209,,
24.05.2020,536055480,,
25.05.2020,558636268,,
26.05.2020,507859450,,
27.05.2020,434071016,,
28.05.2020,446858460,,
29.05.2020,431773947,,
30.05.2020,418454276,,
31.05.2020,411088134,,
01.06.2020,346798016,,
02.06.2020,296318237,,
03.06.2020,285047076,,
04.06.2020,370795944,,
05.06.2020,494357000,,
06.06.2020,508874159,,
07.06.2020,512324290,,
08.06.2020,463922894,,
09.06.2020,471730440,,
10.06.2020,463584437,,
11.06.2020,430339130,,
12.06.2020,318909186,,
13.06.2020,269894771,,
14.06.2020,304695985,,
15.06.2020,318982951,,
16.06.2020,311397023,,
17.06.2020,292005696,,
18.06.2020,301684373,,
19.06.2020,310621393,,
20.06.2020,295846548,,
21.06.2020,278598759,,
22.06.2020,266210287,,
23.06.2020,259764631,,
24.06.2020,242568239,,
25.06.2020,234760144,,
26.06.2020,220419877,,
27.06.2020,209660257,,
28.06.2020,227782945,,
29.06.2020,256262291,,
30.06.2020,269395142,,
01.07.2020,258948787,,
02.07.2020,257649721,,
03.07.2020,273094373,,
04.07.2020,256982144,,
