"Gasday","HGasSLPsyn","HGasSLPana","LGasSLPsyn","LGasSLPana","HGasRLMmT","LGasRLMmT","HGasRLMoT","LGasRLMoT","Status","Unit"
2021-10-01,469806696,91947888,109932216,30113544,1054848720,189006096,58543425,2384881,final,kWh
2021-10-02,384135768,102041568,92174112,32448840,868508208,154924416,51829781,2228264,final,kWh
2021-10-03,304357608,93810216,77725944,30172176,872017872,152557392,47209353,2216721,final,kWh
2021-10-04,360371664,85503624,87568008,31572408,1153759152,194356848,64817214,2447048,final,kWh
2021-10-05,424557288,80769072,105016464,28528296,1130426928,197177688,63271859,2433560,final,kWh
2021-10-06,501258936,92572560,121272024,33022416,1232041392,209218080,66434824,2514251,final,kWh
2021-10-07,557224752,106540272,130965696,35016264,1313485920,208674312,73668268,5578358,final,kWh
2021-10-08,554552952,114103776,132398952,42694632,1226739888,201762672,72786945,2034939,final,kWh
2021-10-09,612888312,117910488,144114936,40187160,1012476312,170849400,64775563,2389409,final,kWh
2021-10-10,734227992,122427000,165803304,41307456,1055106000,177506400,67107986,2419848,final,kWh
2021-10-11,750853200,134943288,161621664,40620240,1279883568,211004448,71052841,2961588,final,kWh
2021-10-12,777126048,147323376,170655048,44229216,1309038360,221130816,103914428,6272115,final,kWh
2021-10-13,821896728,152044944,179041200,44352600,1383536448,222256128,88165777,6513652,final,kWh
2021-10-14,743877600,156964704,156445992,50777208,1283922024,214595280,79642849,5108551,final,kWh
2021-10-15,712547856,160743912,157167360,53298552,1230490536,207473928,67150887,5915563,final,kWh
2021-10-16,752227224,153318864,178199832,50337648,1115873952,178449384,62278900,4207334,final,kWh
2021-10-17,759338784,151786488,178042296,52214304,1114544952,175530840,59146674,822556,final,kWh
2021-10-18,719518320,156857424,164622144,56850120,1320371328,210285816,60227949,2354060,final,kWh
2021-10-19,591168528,157522056,130621392,53566368,1249449552,204525984,58150553,899781,final,kWh
2021-10-20,463895304,148536120,105959304,50765784,1121849256,199811976,50544543,982945,final,kWh
2021-10-21,540506616,136590480,140000400,47654136,1210800672,220681200,60405719,1084781,final,kWh
2021-10-22,721297704,120055344,180339240,43286088,1236953568,217993848,68474923,1109505,final,kWh
2021-10-23,801503448,145530312,196690608,55677936,1180449264,188425176,62250727,1058256,final,kWh
2021-10-24,897788328,182825736,210038952,62312448,1146193056,193195152,56535561,1033558,final,kWh
2021-10-25,897673584,182121192,206832504,61394208,1429053936,230189184,70756436,1137227,final,kWh
2021-10-26,799004400,181761312,179874432,62898384,1370590032,222373728,62482470,1183611,final,kWh
2021-10-27,710542416,183899472,148804128,57868392,1324250880,217215840,63087374,1160197,final,kWh
2021-10-28,721365576,165495168,147635256,51529752,1338554400,216712968,60689175,1064224,final,kWh
2021-10-29,714381144,154230576,140581416,48576552,1266419640,200808264,62517559,1046193,final,kWh
2021-10-30,693388525,158549575,142576300,53340000,1141461600,178533425,52779556,398417,final,kWh
2021-10-31,601746120,157767048,131832576,47608608,1004279616,165028896,49535394,897596,final,kWh
2021-11-01,660993816,153006240,150750792,48777912,1200858240,191417352,67176520,1528451,final,kWh
2021-11-02,793278312,139059048,187552776,49452552,1531503456,225998784,86998204,9102245,final,kWh
2021-11-03,910767552,165448392,222293112,53653128,1604412480,235284984,92158005,9172796,final,kWh
2021-11-04,1012018968,178921392,248701200,63709608,1540422168,238376496,86822611,4137227,final,kWh
2021-11-05,1013489280,191972424,239307192,68940864,1460951544,223168848,84320792,2615083,final,kWh
2021-11-06,980753232,205047384,223209552,72228936,1203532248,186888168,68081265,1248293,final,kWh
2021-11-07,968259600,199264968,213391872,70282488,1192027896,189651024,71287290,1115965,final,kWh
2021-11-08,1001824056,194410200,217761936,67388616,1620937008,232673520,93170409,8432149,final,kWh
2021-11-09,1031923416,202597752,226264608,67607544,1598277456,235690992,86889199,4167001,final,kWh
2021-11-10,1128184080,207031968,250756536,70099248,1730870040,244257840,110940886,9697350,final,kWh
2021-11-11,1149003216,212099592,255827640,72308112,1733540448,246954384,103707942,9791581,final,kWh
2021-11-12,1178251200,230068104,267036120,81135384,1597771992,234584208,98359431,7635338,final,kWh
2021-11-13,1073603400,228304560,237563928,82172832,1359966672,200719176,98512714,5168925,final,kWh
2021-11-14,1022196600,223839408,234937152,80828520,1323334656,202193808,100125061,6388241,final,kWh
2021-11-15,1070650632,215662656,261407088,75062736,1733771496,246256416,108689146,9525481,final,kWh
2021-11-16,1118622672,216674136,274620984,73415568,1714843728,253306608,116229008,9146681,final,kWh
2021-11-17,1079940288,228838368,260052600,78886920,1563451680,246604800,103097238,7083032,final,kWh
2021-11-18,1046406096,232909632,246753024,81734208,1434720552,242318424,91745086,4026372,final,kWh
2021-11-19,929355672,234300000,205891080,79800480,1375220160,223277568,86205154,3880009,final,kWh
2021-11-20,894757272,219352872,194220264,74859936,1203688536,191740704,80623334,988797,final,kWh
2021-11-21,992823336,195018744,223886688,68286360,1337714808,203414904,91593546,4463185,final,kWh
2021-11-22,1170894192,187483608,284385696,69888792,1720085136,256916256,112425689,6058919,final,kWh
2021-11-23,1276534176,209582688,296007144,76352520,1819878528,254146128,114112240,9327891,final,kWh
2021-11-24,1314354264,246970104,299507520,88060464,1823374896,250899456,112402401,9682631,final,kWh
2021-11-25,1413418536,254082384,327345192,92507376,1813216872,255705192,112254353,9504699,final,kWh
2021-11-26,1438396992,250817064,340915176,90858888,1665577224,249268776,110756701,8294726,final,kWh
2021-11-27,1416795984,265711272,341154816,93794760,1538903400,215460192,103124563,9927902,final,kWh
2021-11-28,1488338664,271999368,352598856,96774552,1544210640,223999128,103755297,9156639,final,kWh
2021-11-29,1549780680,277970016,371683656,97125216,1824350040,272283288,108599002,9115018,final,kWh
2021-11-30,1418486520,280105464,325564632,97595976,1645656864,258750456,102036812,4380865,final,kWh
2021-12-01,1223715888,280544016,284948616,101507568,1535506056,260857032,86442638,3762094,final,kWh
2021-12-02,1367218896,286045560,328409352,95648904,1815862080,277076328,109830135,10038967,final,kWh
2021-12-03,1447319256,277372608,347826408,92217600,1677866160,266216616,109778222,7749932,final,kWh
2021-12-04,1329805608,292007112,329870760,102184320,1493187864,220327872,98825207,9044865,final,kWh
2021-12-05,1386563856,300129360,334943544,104094936,1538820168,223188144,107093412,7810483,final,kWh
2021-12-06,1507268184,294841632,362260368,98404056,1873094952,266311920,109310065,9402420,final,kWh
2021-12-07,1501543440,300816192,355648416,98379384,1816488528,266918736,112061498,7861057,final,kWh
2021-12-08,1483389312,310164072,347348400,102572808,1823234208,265334424,119806620,5623143,final,kWh
2021-12-09,1492009416,311717016,350650368,102340272,1912039632,265718808,121240981,6701297,final,kWh
2021-12-10,1512376128,309881328,355915248,101703240,1851420648,261255336,115113388,12297620,final,kWh
2021-12-11,1483907328,312263784,353371128,104679672,1569522120,228341424,104525922,10256523,final,kWh
2021-12-12,1375497816,304814616,313383192,104853096,1418007552,215772840,97129361,7044156,final,kWh
2021-12-13,1221362760,293520792,266473128,103879008,1706904984,241767504,94162602,9873820,final,kWh
2021-12-14,1157818896,270567984,256789224,92622384,1734465384,237210168,95863557,9479383,final,kWh
2021-12-15,1092807144,241910112,239284560,83995872,1691927328,230985456,93520228,8308101,final,kWh
2021-12-16,1087393776,240796320,235223520,82692648,1694478504,231261816,100482231,9080723,final,kWh
2021-12-17,1061160480,238577064,231882048,78679968,1660189872,225187248,107773074,5583185,final,kWh
2021-12-18,1065161832,236653080,222269328,75797784,1428079440,196715304,104286161,1271213,final,kWh
2021-12-19,1140786096,242693136,245705400,78607344,1355248104,198660264,104247182,1250926,final,kWh
2021-12-20,1394152128,266850792,322413000,85522752,1864037136,247382616,116015184,11160170,final,kWh
2021-12-21,1637462640,284816928,394929672,91217928,1943119032,260988888,120553749,11924372,final,kWh
2021-12-22,1738054704,314148624,424359888,103150968,1835774856,257519976,118730653,9154031,final,kWh
2021-12-23,1635335976,328255464,398138016,114334608,1489535160,219543984,105492466,7724299,final,kWh
2021-12-24,1400299104,319309632,328658568,120387024,1212653160,175047888,95957379,1231146,final,kWh
2021-12-25,1513677096,325079640,374716656,111076800,1300287408,195689088,101253685,5455418,final,kWh
2021-12-26,1558682760,304561584,399437496,94279536,1323724032,198493008,101996432,8241872,final,kWh
2021-12-27,1461544800,313037616,369750216,105060912,1403880432,203486688,106670730,7110874,final,kWh
2021-12-28,1259109960,321992736,302830152,105756024,1306378152,195777360,95977758,1263340,final,kWh
2021-12-29,1109893344,296079384,262577808,94983648,1255092888,186350616,93231073,1347840,final,kWh
2021-12-30,805323120,248460192,186243864,81398280,1094877384,165471576,73647034,1064952,final,kWh
2021-12-31,691551240,216615864,151137288,73297296,981737760,145013976,66357903,1015123,final,kWh
2022-01-01,707241936,194952192,152914248,61164840,990019224,146044368,64446163,1011408,final,kWh
2022-01-02,737112408,189300696,166005456,58329192,1054338288,169436136,67322647,1258846,final,kWh
2022-01-03,814063584,193241952,197749704,57338592,1297597584,217828680,73751664,2494798,final,kWh
2022-01-04,934979880,207329832,239867496,64560072,1460821536,237361656,89847417,7264648,final,kWh
2022-01-05,1194882216,231132480,298354176,73731888,1493603952,260431368,90034603,3245338,final,kWh
2022-01-06,1404215472,263213040,344613216,84945576,1604591400,262689408,103616686,7957220,final,kWh
2022-01-07,1488568944,289610304,353973912,98081544,1559467632,258681096,106957284,6136984,final,kWh
2022-01-08,1476720144,296018784,352093944,102409512,1386697704,227054064,96921419,4797363,final,kWh
2022-01-09,1453468920,299954808,343072560,104582520,1455293448,226174128,102818667,7818560,final,kWh
2022-01-10,1520064576,301303848,361048536,106098432,1905895728,273594432,109288043,9469237,final,kWh
2022-01-11,1565457048,305217288,381772800,103938768,1933390296,279831168,122894430,10610562,final,kWh
2022-01-12,1597708992,310762920,375149400,109142832,1907963976,276664200,117776909,11425222,final,kWh
2022-01-13,1535342064,305525544,363228432,110250504,1818090960,279189120,106065037,7330633,final,kWh
2022-01-14,1469590416,295043976,344304456,110562456,1820945136,265982160,105884201,11819919,final,kWh
2022-01-15,1436810016,293424264,326887272,109547952,1611740208,230454624,108084355,8049409,final,kWh
2022-01-16,1448530800,294736128,329901072,109745352,1407697800,229476792,101814174,2347757,final,kWh
2022-01-17,1395135000,289103832,317658408,107865768,1666719096,261076800,108531811,6609776,final,kWh
2022-01-18,1367301528,286557048,308369112,103623984,1848592584,257064840,108831934,10806680,final,kWh
2022-01-19,1414843824,289847832,326858952,100347672,1652010408,268476264,98569923,6317087,final,kWh
2022-01-20,1500690648,293761608,357169104,97064088,1693658424,277694616,109840073,8363136,final,kWh
2022-01-21,1528137960,302634888,353307840,103749096,1705124472,270631392,109339352,8563645,final,kWh
2022-01-22,1368651864,301322544,312685320,108633096,1577563560,220550352,102929360,9274474,final,kWh
2022-01-23,1297846776,291409608,302893608,106596432,1586825256,219889512,98380508,6247778,final,kWh
2022-01-24,1359135696,278446608,333012528,102219672,1927171608,261755208,98594788,11035851,final,kWh
2022-01-25,1442775384,274954176,356346264,95860776,1942353048,269767752,109554141,13629190,final,kWh
2022-01-26,1500926208,286944648,366428904,98793000,1813442880,274147968,105567409,9123087,final,kWh
2022-01-27,1458251496,291264864,340044696,104874120,1661413944,264478080,98593569,7429954,final,kWh
2022-01-28,1394762928,292807632,324772200,109532808,1631527128,248602896,100862669,6837580,final,kWh
2022-01-29,1232890368,276770376,274765272,101726856,1301899368,203994816,85194238,1252430,final,kWh
2022-01-30,1230964344,275284584,289894776,97994040,1339292928,212862312,91148756,1974979,final,kWh
2022-01-31,1358666832,275643024,320480640,91846656,1698135144,260012256,108871095,8885393,final,kWh
2022-02-01,1369581960,283160664,318280848,97375680,1610157240,257181000,94696884,4915970,final,kWh
2022-02-02,1263136440,283465848,297311088,102961632,1638466536,247954920,99695515,6985682,final,kWh
2022-02-03,1172277240,280496448,276487848,99013728,1650689304,242838336,105039606,6930796,final,kWh
2022-02-04,1147344528,263861376,280592376,90102984,1491801768,239812320,95070661,4660621,final,kWh
2022-02-05,1217119704,260564976,295743288,89173896,1312396440,204172824,88941399,1409770,final,kWh
2022-02-06,1212449976,264500352,290078664,91461000,1307608056,211752624,87775310,2034754,final,kWh
2022-02-07,1292908296,269583792,309650064,92581656,1588630968,252535872,105210815,6692488,final,kWh
2022-02-08,1207560360,261329088,278749632,94717704,1500615672,238056216,98486648,5318046,final,kWh
2022-02-09,1097670192,259681176,248280168,95698488,1524117336,236348808,98775973,7831430,final,kWh
2022-02-10,1146690480,250371864,276311640,87024984,1611461544,244213128,100408823,12560022,final,kWh
2022-02-11,1295344392,253325568,316942368,85542336,1626591384,248308440,105879033,11304840,final,kWh
2022-02-12,1409798136,265288056,343149264,92121672,1375277808,219872544,98042730,6888727,final,kWh
2022-02-13,1355781720,277637520,326128872,96569784,1289995392,209612784,86403175,4362986,final,kWh
2022-02-14,1223032368,264204792,280767384,97869000,1479819624,237813936,88310228,6689299,final,kWh
2022-02-15,1169527584,253484352,274325688,90046392,1518059712,241523424,92568841,7770128,final,kWh
2022-02-16,987367776,232545144,229951464,81608976,1465851600,229370616,85198492,5990313,final,kWh
2022-02-17,931668528,233679288,232398456,84062232,1423279416,232104840,83133296,5210416,final,kWh
2022-02-18,937336680,226961784,242808816,75373608,1404318480,224461848,89722289,3864838,final,kWh
2022-02-19,1042427088,234675552,265885560,78213672,1233269976,197233944,83403649,1209806,final,kWh
2022-02-20,1013506296,235871400,251233824,79966416,1205058072,200434944,79893414,1218972,final,kWh
2022-02-21,1120032288,248890032,281308968,85493928,1493573376,251943240,88029528,4655350,final,kWh
2022-02-22,1147187304,244272312,285356832,84409944,1515991728,246873456,93870123,4478051,final,kWh
2022-02-23,1132143072,258754176,282406632,94214088,1533606912,238610184,96718633,4446232,final,kWh
2022-02-24,1101627720,247403616,281761680,90567264,1485898344,247573704,86832260,4085375,final,kWh
2022-02-25,1236448056,244163040,308021952,80748672,1524542808,248508120,97070920,4899677,final,kWh
2022-02-26,1300333944,249027576,317711376,86593704,1384159776,219444792,96063470,4455531,final,kWh
2022-02-27,1377681528,271807800,325921056,97036152,1346141928,216533448,89678097,2151818,final,kWh
2022-02-28,1440137952,278678160,330689496,93070704,1594646184,242348256,97383880,7746848,final,kWh
2022-03-01,1447126272,273932904,328517304,90216552,1745169480,245841192,105518104,9889387,final,kWh
2022-03-02,1405140480,275191704,318197640,88047216,1766454936,245082816,99833919,6339039,final,kWh
2022-03-03,1400131920,270080736,317478984,89217336,1649537184,250155576,109105579,5255418,final,kWh
2022-03-04,1442474328,272186160,333258648,86206584,1625984160,251298144,106561168,5694566,final,kWh
2022-03-05,1457820936,275175936,338725800,87441048,1393016520,212631888,103049279,1432018,final,kWh
2022-03-06,1514428032,282794664,353494296,90306840,1435577952,217333080,103220367,2064950,final,kWh
2022-03-07,1553107872,278524056,360675120,90528864,1724270952,254690400,99124581,9233951,final,kWh
2022-03-08,1467137904,285003696,336256704,95368152,1582127088,250306392,95204362,8635235,final,kWh
2022-03-09,1340855040,269590680,303824256,93321792,1538901360,237811992,89530637,4404350,final,kWh
2022-03-10,1211045136,258074184,263936496,86182728,1423977960,228066336,82767015,3724614,final,kWh
2022-03-11,1206205200,247610568,255039120,79275720,1342824936,216717192,76263517,1416346,final,kWh
2022-03-12,1109001168,231922392,236478792,75690768,1178680080,179868048,76355258,1272871,final,kWh
2022-03-13,1029926328,227661912,213595176,68267688,1171903176,179297904,73491779,1581511,final,kWh
2022-03-14,992366184,213190032,217747296,61536048,1528007616,226082808,86773426,8529732,final,kWh
2022-03-15,975790392,200232648,228614760,59440416,1612838880,235222512,79774647,11624109,final,kWh
2022-03-16,869767872,194482608,208118232,63519288,1425170568,222355920,85666391,4995309,final,kWh
2022-03-17,878318856,198236688,216732552,71923584,1524605352,232255224,85291361,6981021,final,kWh
2022-03-18,919699104,200974896,228906024,64093824,1414040808,223534776,78043844,4286692,final,kWh
2022-03-19,973051416,213910608,232537224,71798976,1143484536,188950368,66796812,1206113,final,kWh
2022-03-20,976385472,203980056,236098296,65219712,1146822312,188821056,72132407,1487856,final,kWh
2022-03-21,929298264,199276608,201310944,62603088,1463557104,208861632,81528059,6517760,final,kWh
2022-03-22,864306264,187305288,182851056,64014120,1482416640,207943488,78492283,6558115,final,kWh
2022-03-23,798448056,168727776,173318808,52268760,1438273344,211331760,79840091,6492778,final,kWh
2022-03-24,760923072,160463496,169187304,48827520,1431032208,213792168,79089234,6623968,final,kWh
2022-03-25,739701240,153309864,169557480,48190416,1288944888,196914048,72003613,4838677,final,kWh
2022-03-26,681529537,143238733,161803666,45259561,1036852075,157417198,65434072,1048753,final,kWh
2022-03-27,676324992,143501112,168342672,46464192,1103791872,165783744,71133322,1346068,final,kWh
2022-03-28,662688960,141924816,172188888,42432504,1324367280,195144888,70306683,6133535,final,kWh
2022-03-29,702097728,149896800,185236128,42082104,1442280792,201039648,75281681,8418082,final,kWh
2022-03-30,874279944,164445072,232764360,44527152,1514481168,209748432,82014601,6043749,final,kWh
2022-03-31,1024936440,179171784,268410576,50451312,1481403072,228501624,82718595,3212303,final,kWh
2022-04-01,1249863072,201292344,302012568,56435544,1463695992,241525488,83185787,4573375,final,kWh
2022-04-02,1375120416,229551192,310202496,72887832,1343439144,204673032,90044511,1352399,final,kWh
2022-04-03,1442395632,255810264,322442184,91453680,1287982320,198992592,82246071,1306201,final,kWh
2022-04-04,1379400720,248072376,306159984,89841096,1397452992,241996680,79432461,1813418,final,kWh
2022-04-05,1126881168,221885136,252084648,78807024,1371255840,224447784,85110186,4363423,final,kWh
2022-04-06,870791664,217724352,207068208,84073104,1241975520,218558856,69599606,2334685,final,kWh
2022-04-07,813772920,196261704,204834744,70198584,1269153552,223713120,66032781,4969298,final,kWh
2022-04-08,897243240,189754728,225046992,68938776,1327416768,218227344,80018255,6145382,final,kWh
2022-04-09,998696520,192169080,243133656,67241808,1146575904,191467992,70019810,4370473,final,kWh
2022-04-10,1085501040,206576304,254217312,71712672,1184565144,193032816,76490549,5370961,final,kWh
2022-04-11,1004188656,207316680,226979352,71190816,1333220112,210640752,82468056,6440824,final,kWh
2022-04-12,740509560,189344808,158801088,66764136,1209891600,188323824,72622647,1249846,final,kWh
2022-04-13,518966376,146121216,112318776,53191104,1232730696,180560064,65897858,6108086,final,kWh
2022-04-14,442083048,123163944,101982024,38100912,1138714680,170418024,58188021,6649982,final,kWh
2022-04-15,506904816,118724856,123995736,33587616,990789072,151746720,65280650,3915359,final,kWh
2022-04-16,636382560,127584432,146807208,34190352,967345752,147437376,60492364,1035052,final,kWh
2022-04-17,718311168,145141680,154303320,40106376,921268848,134974440,51747938,987316,final,kWh
2022-04-18,705741408,149904912,145642080,39249312,990512232,141538032,52606503,1455616,final,kWh
2022-04-19,718079040,145427088,143517120,36977688,1203443832,186157464,57611478,3040341,final,kWh
2022-04-20,710714352,128653992,145943376,35112288,1234674216,191593656,62302543,3403198,final,kWh
2022-04-21,672583176,128566920,141871560,33204792,1200715248,189723240,64492165,7774063,final,kWh
2022-04-22,605091792,127612632,131631984,32673792,1074727416,179779464,63904749,5006467,final,kWh
2022-04-23,525523416,123656664,113527008,34053600,897003624,148533216,52932096,4066877,final,kWh
2022-04-24,597463872,125307576,124742520,34533576,958649640,154491000,55534482,4828902,final,kWh
2022-04-25,659051256,129541272,143173128,32655648,1305025440,197034384,67946774,7987453,final,kWh
2022-04-26,687361440,130917744,149285472,32572896,1342501344,199423200,63140864,8604471,final,kWh
2022-04-27,651253320,129272880,147021456,40277136,1291557744,195364440,59517061,4379992,final,kWh
2022-04-28,601511232,131236224,142453608,42708288,1189081200,195165792,59404296,1635186,final,kWh
2022-04-29,575754312,118016376,143628888,38380152,1135911840,184599024,54736573,3346914,final,kWh
2022-04-30,582864768,107803416,148310040,36234744,948142248,149439936,52153574,1027637,final,kWh
2022-05-01,581240664,107315376,144476352,37481304,924975000,139381488,53074356,2133307,final,kWh
2022-05-02,542745624,110927184,131947320,38183640,1145664768,176240904,53652509,1620366,final,kWh
2022-05-03,507371808,110929656,123469848,37246728,1212805368,177856872,50999336,1379566,final,kWh
2022-05-04,482532168,94962552,121753320,32139672,1234101264,179534568,50065908,3755669,final,kWh
2022-05-05,457469544,88825464,110212968,29997648,1210493448,176122272,48338343,2471383,final,kWh
2022-05-06,395656704,85194144,90777096,29127792,1138251408,165274104,48872245,2893237,final,kWh
2022-05-07,356530560,78681144,81139656,26043984,864750576,135379224,44302004,909303,final,kWh
2022-05-08,358680696,78537600,86413368,23467176,904206840,143088480,44307105,1423225,final,kWh
2022-05-09,306272040,73373040,71022408,21867048,1108380984,166042248,47221715,6039851,final,kWh
2022-05-10,235379064,67547784,52230552,21598176,1051605960,164051808,41561452,967000,final,kWh
2022-05-11,201213096,57228120,47674344,18165624,991500840,162881496,45791009,920264,final,kWh
2022-05-12,217427040,53617344,55534968,15154992,1036254816,165307440,45999959,1070608,final,kWh
2022-05-13,246224640,52971840,61389960,14334480,974305848,161760600,45458562,1094809,final,kWh
2022-05-14,244822440,53677488,58197072,15761688,839214600,132504888,40996490,1001031,final,kWh
2022-05-15,228698760,54940968,52704408,17317272,831572136,129763944,38339324,965825,final,kWh
2022-05-16,215441592,51729432,49203144,15784656,1039688352,164096208,44623597,1016845,final,kWh
2022-05-17,214929840,51585576,47979528,15185856,1115052576,165399792,41169694,994944,final,kWh
2022-05-18,173954472,47311800,35654016,13117416,1064661360,159225576,40089061,858467,final,kWh
2022-05-19,153871176,43944240,33048912,13083648,1060441800,161043696,43106061,1109897,final,kWh
2022-05-20,156461184,39635856,41828976,11840400,943568952,153815352,40718916,992222,final,kWh
2022-05-21,199333920,41393112,52771608,12008280,781338528,131115936,40936123,1015188,final,kWh
2022-05-22,226872504,44625216,56094624,12764976,835359336,130092120,47279856,965080,final,kWh
2022-05-23,221272032,47362344,55016976,14894016,1001096784,156043824,46313767,4109514,final,kWh
2022-05-24,247401768,46788384,60216792,14681112,1062639120,165684864,47017186,7914581,final,kWh
2022-05-25,266851992,46799160,63442056,13900368,952514520,152947104,47163068,6141790,final,kWh
2022-05-26,263022264,49811304,58372632,16546752,803246160,126470640,45825991,3716944,final,kWh
2022-05-27,294566664,56178504,68484792,16707912,854131152,139072848,46860410,3961647,final,kWh
2022-05-28,368847600,59280960,83483424,16641120,802481616,136282080,46970763,4011655,final,kWh
2022-05-29,459617616,65307096,102588408,19119936,883306464,143176728,52516750,5157660,final,kWh
2022-05-30,495143592,71701536,110547864,20468688,1155832032,175965888,53580613,10132994,final,kWh
2022-05-31,421654128,72920160,96411024,24697896,1139473728,172668480,51964461,9960332,final,kWh
2022-06-01,371029800,70495488,84327864,25253448,1143489408,164177544,47326529,5093241,final,kWh
2022-06-02,323304024,63709512,75806088,23506728,1112641752,158242224,43600803,4120456,final,kWh
2022-06-03,244805112,56635824,58699272,22054368,1009160160,139103664,42513378,2421859,final,kWh
2022-06-04,199219272,53696688,46407912,18794232,781346448,111643368,41115246,2379658,final,kWh
2022-06-05,177989160,46537704,41488800,15784032,720388152,100076808,37006647,2244457,final,kWh
2022-06-06,186663984,42360960,44689128,14032272,772950024,109716480,35805148,2319237,final,kWh
2022-06-07,215847144,42304272,50701008,13351152,1049328720,148306440,39754941,3405469,final,kWh
2022-06-08,231176400,42720816,54330696,14203848,1064724408,150874944,39874233,4412242,final,kWh
2022-06-09,252392640,45658008,55180776,14461608,1048292040,152591232,40425024,2436425,final,kWh
2022-06-10,227831832,42730752,50284680,14894952,970361976,141934152,40520910,2405417,final,kWh
2022-06-11,190679112,43623432,42782568,15611928,765190968,118037952,38952810,2821336,final,kWh
2022-06-12,178688352,40254792,42715464,13463208,780353520,120930096,38311118,2262611,final,kWh
2022-06-13,211138200,41502720,50288760,11796384,1007404632,151237584,40343788,2319036,final,kWh
2022-06-14,218760480,42040032,51809784,12214488,1094196408,151571712,41014878,2375542,final,kWh
2022-06-15,186957672,40963608,44191464,13252512,1035992616,144818928,38345474,3553482,final,kWh
2022-06-16,173330712,40380264,41278392,13056144,842908080,129048432,37609224,2766894,final,kWh
